,name,location,edition,restaurant_url,address
107,The Good Earth,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/the-good-earth-editions-bel?geohash=gcpv4dretwn2,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, London, W106AU, London, W106AU"
108,WING·STOP,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/wingstop-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Pheonix Park, Apsley Way, Unit 2, London, NW27LN"
109,Mindful Chef ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/mindful-chef-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Phoenix Park, Apsley Way, Unit 2, London, NW27LN"
110,TRIP CBD Store,London,west-hendon,https://deliveroo.co.uk/menu/London/west-hendon/trip-cbd-store-colindale?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Knightsbridge House, Hool Close, London, NW98XG"
111,Poke Fuzion,Wigan,sankey,https://deliveroo.co.uk/menu/Wigan/sankey/poke-fuzion-warrington?day=today&geohash=gcqpexr9thzp&time=ASAP,"56 Warrington Road, Wigan, WA52JP"
112,Pasta Evangelists,Manchester,sale,https://deliveroo.co.uk/menu/Manchester/sale/pasta-evangelists-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"113 Hope Rd, Sale, Manchester, M333YA"
113,The Athenian - Greek Gyros & Souvlaki ,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/the-athenian-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
114,Luxford Burgers,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/luxford-burgers-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
115,Nomi Katsu 🇯🇵,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/nomi-katsu-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester,Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
116,Poke Fuzion by ZUMU,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/poke-fuzion-uk?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester, Manchester, M53AN"
117,Sabor - Latin American,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/sabor-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
118,Bulked Loaded Fries,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/bulked-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
119,The Athenian - Vegan Greek Kitchen,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/the-athenian-plant-based-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
